"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1948","11","Don Ray","11","PHW","Western Kentucky","1","61","","364","","60",".323","",".698","","6.0","","1.0","1.3","","",""
"1948","12","Jack Nichols","12","WSC","Washington","9","505","10703","5269","2793","965",".368","",".752","26.9","10.4","6.9","1.9","24.8",".061","",""
"1948","13","Jim Black","","BLB","Occidental College","","","","","","","","","","","","","","","","",""
"1948","14","Darrell Brown","","BLB","Humboldt State University","1","3","","4","","0",".333","",".000","","1.3","","0.0","0.0","","",""
"1948","15","Robert Carroll","","BLB","West Virginia","","","","","","","","","","","","","","","","",""
"1948","16","Jake Carter","","BLB","East Texas State University","1","24","","82","","24",".307","",".679","","3.4","","1.0","0.7","","",""
"1948","17","Marvin English","","BLB","Newberry College","","","","","","","","","","","","","","","","",""
"1948","18","Gene Fellmoth","","BLB","Wittenberg University","","","","","","","","","","","","","","","","",""
"1948","19","J.W. Fullerton","","BLB","Arkansas State University","","","","","","","","","","","","","","","","",""
"1948","20","Marshall Gemberling","","BLB","Lebanon Valley College","","","","","","","","","","","","","","","","",""
"1948","21","Vince Hansen","","BLB","Washington State","","","","","","","","","","","","","","","","",""
"1948","22","Joe Holland","","BLB","Kentucky","3","186","737","1084","510","327",".331","",".621","13.4","5.8","4.2","1.8","1.9",".037","",""
"1948","23","Wayne Jones","","BLB","American International College","","","","","","","","","","","","","","","","",""
"1948","24","Dan Kraus","","BLB","Georgetown","1","13","","21","","7",".143","",".458","","1.6","","0.5","-0.3","","",""
"1948","25","Herb Krautblatt","","BLB","Rider University","1","10","","13","","4",".222","",".455","","1.3","","0.4","-0.1","","",""
"1948","26","Paul Marcincin","","BLB","Moravian College","","","","","","","","","","","","","","","","",""
"1948","27","Johnny Bach","","BOS","Fordham","1","34","","119","","25",".286","",".680","","3.5","","0.7","0.8","","",""
"1948","28","Norman Carey","","BOS","Oregon State","","","","","","","","","","","","","","","","",""
"1948","29","Bob Curran","","BOS","Holy Cross","","","","","","","","","","","","","","","","",""
"1948","30","Neil Dooley","","BOS","Colgate","","","","","","","","","","","","","","","","",""
"1948","31","Jack Hauser","","BOS","Denver","","","","","","","","","","","","","","","","",""
"1948","32","Marshall Hawkins","","BOS","Tennessee","1","39","","152","","51",".282","",".689","","3.9","","1.3","-0.1","","",""
"1948","33","Tom Kelly","","BOS","NYU","1","27","","191","","38",".335","",".616","","7.1","","1.4","1.4","","",""
"1948","34","Murray Mitchell","","BOS","Sam Houston State University","1","2","","2","","2",".333","","","","1.0","","1.0","0.0","","",""
"1948","35","Guinn Phillips","","BOS","Texas Wesleyan University","","","","","","","","","","","","","","","","",""
"1948","36","Ray Wehde","","BOS","Iowa State","","","","","","","","","","","","","","","","",""
"1948","37","Hook Dillon","","CHS","UNC","1","22","","36","","5",".182","",".727","","1.6","","0.2","-0.4","","",""
"1948","38","Whitey Kachan","","CHS","DePaul","1","52","","112","","37",".268","",".643","","2.2","","0.7","0.7","","",""
"1948","39","Mickey Marty","","CHS","Loras College","","","","","","","","","","","","","","","","",""
"1948","40","Ed Mills","","CHS","Wisconsin","","","","","","","","","","","","","","","","",""
"1948","41","Don Reagan","","CHS","Murray State","","","","","","","","","","","","","","","","",""
"1948","42","Joe Shafer","","CHS","Wheaton College","","","","","","","","","","","","","","","","",""
"1948","43","Odie Spears","","CHS","Western Kentucky","8","479","8104","4161","1409","917",".366","",".763","22.9","8.7","4.0","1.9","27.6",".111","",""
"1948","44","Fred Weber","","CHS","Siena College","","","","","","","","","","","","","","","","",""
"1948","45","Bobby Cook","","FTW","Wisconsin","1","51","","587","","158",".358","",".790","","11.5","","3.1","1.9","","",""
"1948","46","Link Richmond","","FTW","Arizona","","","","","","","","","","","","","","","","",""
"1948","47","Kenny Rollins","","FTW","Kentucky","3","168","426","817","45","344",".309","",".750","9.9","4.9","1.0","2.0","4.2",".011","",""
"1948","48","Murray Wier","","FTW","Iowa","1","56","","429","","107",".327","",".693","","7.7","","1.9","1.6","","",""
"1948","49","Reede Berg","","INJ","Oregon","","","","","","","","","","","","","","","","",""
"1948","50","Jack Coleman","","INJ","LSU","","","","","","","","","","","","","","","","",""
"1948","51","Alex Hannum","","INJ","USC","8","516","7713","3078","2013","857",".354","",".629","19.8","6.0","4.5","1.7","11.4",".028","",""
"1948","52","Norman Kohler","","INJ","UNC","","","","","","","","","","","","","","","","",""
"1948","53","Andy Kostecka","","INJ","Georgetown","1","21","","135","","14",".418","",".614","","6.4","","0.7","1.7","","",""
"1948","54","Ray Lumpp","","INJ","NYU","5","300","2739","2462","391","654",".366","",".767","23.4","8.2","2.2","2.2","15.5",".067","",""
"1948","55","Bob Paxton","","INJ","UNC","","","","","","","","","","","","","","","","",""
"1948","56","Jack Phoenix","","INJ","Idaho","","","","","","","","","","","","","","","","",""
"1948","57","Dick Wehr","","INJ","Rice University","1","9","","12","","3",".238","",".333","","1.3","","0.3","-0.1","","",""
"1948","58","Cliff Crandall","","MNL","Oregon State","","","","","","","","","","","","","","","","",""
"1948","59","Arnie Ferrin","","MNL","Utah","3","178","","1037","271","278",".332","",".686","","5.8","4.0","1.6","7.6","","",""
"1948","60","Earl Gardner","","MNL","DePauw University","1","50","","89","","19",".376","",".464","","1.8","","0.4","0.7","","",""
"1948","61","Dee Gibson","","MNL","Western Kentucky","1","44","","281","","126",".314","",".718","","6.4","","2.9","2.7","","",""
"1948","62","Ken Jastrow","","MNL","Denver","","","","","","","","","","","","","","","","",""
"1948","63","Bob Lowther","","MNL","LSU","","","","","","","","","","","","","","","","",""
"1948","64","Johnny Orr","","MNL","Beloit College","1","34","","92","","20",".339","",".857","","2.7","","0.6","-0.1","","",""
"1948","65","Junior Skogland","","MNL","Gustavus Adolphus","","","","","","","","","","","","","","","","",""
"1948","66","Quentin Stinson","","MNL","Southern Illinois","","","","","","","","","","","","","","","","",""
"1948","67","Gene Berce","","NYK","Marquette","1","3","","10","","2",".313","",".000","","3.3","","0.7","-0.1","","",""
"1948","68","Leland Byrd","","NYK","West Virginia","","","","","","","","","","","","","","","","",""
